Source Node    	Target Node    	Interaction Source	Interaction Type
FOS	TNF	Toll-like receptor signaling pathway	Not Directed
ORC5L	ORC1L	Cell cycle	Not Directed
LAMC3	DAG1	ECM-receptor interaction	Not Directed
MOS	MAP2K1	MAPK signaling pathway	Not Directed
MAPK1	STMN1	MAPK signaling pathway	Not Directed
CCL25	CCR9	Cytokine-cytokine receptor interaction	Not Directed
GNAT3	PDE1A	Taste transduction	Not Directed
PIAS3	STAT1	Jak-STAT signaling pathway	Not Directed
ARHGEF4	Rac1	Pleckstrin homology proteins interactions. Part I	Not Directed
CDKN1A	CCND1	Glioma	Not Directed
PP2A catalytic	p70 S6 kinase1	Erk Interactions: Activation and selected Erk targets	Not Directed
CDC42	JNK(MAPK8-10)	NAD metabolism	Not Directed
LEF1	BIRC5	Colorectal cancer	Not Directed
Caspase-3	Rb protein	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
CalDAG-GEFIII	RAP-1A	CTP/UTP metabolism	Not Directed
IL1A	IL1RAP	Cytokine-cytokine receptor interaction	Not Directed
MEK3(MAP2K3)	p38alpha (MAPK14)	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
MYH10	440915	Regulation of actin cytoskeleton	Not Directed
CD86	CD28	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
TP53	HD	Huntington's disease	Not Directed
PIAS3	STAT3	Fatty acid oxidation II	Not Directed
AKT3	CHUK	Prostate cancer	Not Directed
Lyn	Btk	Pleckstrin homology proteins interactions. Part II	Not Directed
RBX1	SMAD2	TGF-beta signaling pathway	Not Directed
dopamine extracellular region	Dopamine D5 receptor	Gs-a Specific GPCRs  (in brain)	Not Directed
Erk (MAPK1/3)	c-Fos	Phosphatidylinositol metabolism	Not Directed
AKT3	MDM2	Chronic myeloid leukemia	Not Directed
GLI1	BMP8A	Hedgehog signaling pathway	Not Directed
TNFRSF1A	TRAF6	MAPK signaling pathway	Not Directed
LAMC3	ITGA3	ECM-receptor interaction	Not Directed
CD8A	HLA-A	Antigen processing and presentation	Not Directed
CHRM1	GNAL	Calcium signaling pathway	Not Directed
TAK1(MAP3K7)	MEK4(MAP2K4)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
GNB1	PLCB2	Taste transduction	Not Directed
Ryanodine	Ryanodine receptor 3	ATP metabolism	Not Directed
KIT	PIK3CA	Acute myeloid leukemia	Not Directed
BNIP1	MDS032	SNARE interactions in vesicular transport	Not Directed
CBLC	LCK	T cell receptor signaling pathway	Not Directed
CD28	GRB2	T cell receptor signaling pathway	Not Directed
SRF	FOS	MAPK signaling pathway	Not Directed
p19	CDK6	Fatty acid synthesis I	Not Directed
MAP2K1	MAPK1	MAPK signaling pathway	Not Directed
SENP2	DVL1	Wnt signaling pathway	Not Directed
RAP1A	ITGA4	Leukocyte transendothelial migration	Not Directed
MAP2K1IP1	MAP2K1	MAPK signaling pathway	Not Directed
GSK3B	CTNNB1	Melanogenesis	Not Directed
CDC7	MCM5	Cell cycle	Not Directed
PRKACA	RAP1A	Long-term potentiation	Not Directed
HNF4A	HNF1A	Maturity onset diabetes of the young	Not Directed
CTNNB1	CREBBP	Prostate cancer	Not Directed
RhoGDI alpha	RhoA	Fructose metabolism	Not Directed
CD3 zeta	Syk	Phospholipid metabolism I	Not Directed
TRAF6	MAP3K7	Toll-like receptor signaling pathway	Not Directed
ERBB4	SHC2	ErbB signaling pathway	Not Directed
PAK1	MAP3K14	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
5-Sep	STX1A	Parkinson's disease	Not Directed
SMAD4	PITX2	TGF-beta signaling pathway	Not Directed
LAT	GRB2	Cholesterol metabolism I  Cholesterol Biosynthesis	Not Directed
FES	DPYSL2	Axon guidance	Not Directed
CLDN16	TJP3	Tight junction	Not Directed
ALG9	ALG3	N-Glycan biosynthesis	Not Directed
LAMC3	ITGB1	ECM-receptor interaction	Not Directed
PLEKHA8	CLTA	Huntington's disease	Not Directed
FN1	ITGB6	ECM-receptor interaction	Not Directed
RAP1A	ITGAL	Leukocyte transendothelial migration	Not Directed
TJP1	TJP3	Tight junction	Not Directed
RHOA	BCAR1	Leukocyte transendothelial migration	Not Directed
F11	F9	Complement and coagulation cascades	Not Directed
SOCS3	JAK1	Adipocytokine signaling pathway	Not Directed
MYC	CDK4	Small cell lung cancer	Not Directed
RIPK1	TRADD	Apoptosis	Not Directed
SOD1	PPP3CA	Amyotrophic lateral sclerosis (ALS)	Not Directed
NRG3	ERBB4	ErbB signaling pathway	Not Directed
CDC2	CCNB3	Cell cycle	Not Directed
ABL1	STAT5A	Chronic myeloid leukemia	Not Directed
TP53	CDKN1A	Melanoma	Not Directed
KDR	CDC42	VEGF signaling pathway	Not Directed
CFH	C3	Complement and coagulation cascades	Not Directed
BRAF	MAP2K1	Focal adhesion	Not Directed
ATM	TP53	Cell cycle	Not Directed
CYBA	NCF2	Leukocyte transendothelial migration	Not Directed
IRAK4	IRAK1/2	Fatty acid omega oxidation	Not Directed
CDC25A	CDK4	NAD metabolism	Not Directed
ARAF	MAP2K1	Long-term depression	Not Directed
MAP3K1	MAP2K7	GnRH signaling pathway	Not Directed
PPARG	ANGPTL4	PPAR signaling pathway	Not Directed
CRH	CRHR1	Long-term depression	Not Directed
RXRA	ACAA1	PPAR signaling pathway	Not Directed
ELK1	BIRC2	Focal adhesion	Not Directed
Erk (MAPK1/3)	c-Jun	Phosphatidylinositol metabolism	Not Directed
CFI	C3	Complement and coagulation cascades	Not Directed
FZD10	DVL1	Basal cell carcinoma	Not Directed
RalGDS	RalB	Tryptophan metabolism	Not Directed
MCM7	MCM4	Cell cycle	Not Directed
ORC3L	ORC2L	Cell cycle	Not Directed
IFNAR2	IFNAR1	Cytokine-cytokine receptor interaction	Not Directed
IGF-1 receptor	IRS-2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CTNNB1	LEF1	Basal cell carcinoma	Not Directed
Lck	CD3 zeta	Ketone bodies metabolism	Not Directed
SERPINA5	PROC	Complement and coagulation cascades	Not Directed
cADPR	Ryanodine receptor 3	Glycolysis and gluconeogenesis	Not Directed
CALML6	PDE1C	Olfactory transduction	Not Directed
CDKN1A	CDK4	Chronic myeloid leukemia	Not Directed
PML	JUP	Acute myeloid leukemia	Not Directed
NCOR2	RBPJL	Notch signaling pathway	Not Directed
ITK	Slp76	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
SULT2B1	"3beta-cholest-5-en-3-ol + adenosine 3'-phosphate 5'-phosphosulfate = adenosine 3',5'-bisphosphate + 3beta-cholest-5-en-3-ol 3-sulfate"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
TNF-R1	GRB2	N-Glycan biosynthesis	Not Directed
Leptin	Leptin receptor	Cholesterol metabolism I  Cholesterol Biosynthesis	Not Directed
NTNG1	LRRC4C	Axon guidance	Not Directed
ORC4L	MCM7	Cell cycle	Not Directed
ORC1L	MCM6	Cell cycle	Not Directed
CD46	C3	Complement and coagulation cascades	Not Directed
MAP3K7IP1	CCL4	Toll-like receptor signaling pathway	Not Directed
ITGA11	PTK2	Regulation of actin cytoskeleton	Not Directed
TNFSF14	LTBR	Cytokine-cytokine receptor interaction	Not Directed
plexin B2	LARG	Aminosugars metabolism	Not Directed
RXRA	GK	PPAR signaling pathway	Not Directed
PF4	FGF2	Role of PBX in fibroblasts signaling pathways	Not Directed
ARAF	MAP2K1	Renal cell carcinoma	Not Directed
TGFBR2	ACVR1C	Pancreatic cancer	Not Directed
PTPN6	SYK	B cell receptor signaling pathway	Not Directed
VTN	ITGB8	ECM-receptor interaction	Not Directed
Lyn	CD79B	Phosphatidylinositol metabolism	Not Directed
CALML6	RP11-145H9.1	Calcium signaling pathway	Not Directed
C8A	C9	Complement and coagulation cascades	Not Directed
AKT3	CASP9	VEGF signaling pathway	Not Directed
NOTCH1	DTX2	Notch signaling pathway	Not Directed
AKT3	FRAP1	mTOR signaling pathway	Not Directed
HRX	HRX	Ketone bodies metabolism	Not Directed
Erk (MAPK1/3)	c-Myc	Erk Interactions: Activation and selected Erk targets	Not Directed
CXCR4	GNAI1	Leukocyte transendothelial migration	Not Directed
CYP11A1	"reduced ferredoxin + O(,2) + 3beta,20alpha-cholest-5-en-3,20-diol = H(,2)O + oxidized ferredoxin + 3beta-cholest-5-en-3,20,22-triol"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
INS	INSR	Dentatorubropallidoluysian atrophy (DRPLA)	Not Directed
EGLN3	EPAS1	Renal cell carcinoma	Not Directed
MAPK8	JUN	GnRH signaling pathway	Not Directed
PRKCA	MMP14	GnRH signaling pathway	Not Directed
TJP1	CTNNA1	Tight junction	Not Directed
NFKB1	NFKBIA	Prostate cancer	Not Directed
NFKB1	BCL2L1	Small cell lung cancer	Not Directed
SHC2	GRB2	Focal adhesion	Not Directed
IL12RB1	IL23R	Cytokine-cytokine receptor interaction	Not Directed
JAK1	Fyn	Galactose metabolism	Not Directed
SERPINA5	F2	Complement and coagulation cascades	Not Directed
RhoGAP1	CDC42	Role of PBX in fibroblasts signaling pathways	Not Directed
Hck	Btk	Phospholipid metabolism I	Not Directed
SMAD6	SMAD2	TGF-beta signaling pathway	Not Directed
FLASH	FADD	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
GP1BA	GP5	ECM-receptor interaction	Not Directed
GH1	GHR	Neuroactive ligand-receptor interaction	Not Directed
SREBF1	PKLR	Insulin signaling pathway	Not Directed
CCNE1	RB1	Small cell lung cancer	Not Directed
ICAM1	ITGAL	Leukocyte transendothelial migration	Not Directed
TNFSF4	TNFRSF4	Cytokine-cytokine receptor interaction	Not Directed
YKT6	TSNARE1	SNARE interactions in vesicular transport	Not Directed
CDK2	RB1	Cell cycle	Not Directed
AKT3	BCL2L1	Pancreatic cancer	Not Directed
A2M	PLG	Complement and coagulation cascades	Not Directed
MAPK1	ELK4	MAPK signaling pathway	Not Directed
SOS1	HRAS	Prostate cancer	Not Directed
NCOA3 (pCIP/SRC3)	ESR2	Fatty acid oxidation I	Not Directed
TJP1	CTNNB1	Tight junction	Not Directed
PDPK1	RPS6KB1	Insulin signaling pathway	Not Directed
CASP3	DFFA	Apoptosis	Not Directed
CCL5	CCR5	Cytokine-cytokine receptor interaction	Not Directed
EDNRA	Beta-arrestin1	Ceramide-dependent NO antiapoptotic action	Not Directed
IL29	IL10RB	Cytokine-cytokine receptor interaction	Not Directed
CARD15	RIPK2	TTP metabolism	Not Directed
E2F1	Cyclin E	Phospholipid metabolism III	Not Directed
VAV3	LCP2	T cell receptor signaling pathway	Not Directed
CFLAR	TRADD	Apoptosis	Not Directed
FASLG	FAS	Apoptosis	Not Directed
AXIN1	PPP2CA	Wnt signaling pathway	Not Directed
IFNAR1	STAT1	Toll-like receptor signaling pathway	Not Directed
PRKACA	ATF4	GnRH signaling pathway	Not Directed
VEGFA	KDR	Cytokine-cytokine receptor interaction	Not Directed
IFNW1	IFNAR1	Cytokine-cytokine receptor interaction	Not Directed
HLA-DMA	HLA-DMA	Antigen processing and presentation	Not Directed
CYP11A1	"20(S),22(R)-dihydroxycholesterol + [O]  =  4-Methylpentanal + pregnenolone"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
GRLF1	RHOA	Focal adhesion	Not Directed
GSK3B	GYS1	Insulin signaling pathway	Not Directed
GAB1	CRK	Renal cell carcinoma	Not Directed
LAT	GRB2	Natural killer cell mediated cytotoxicity	Not Directed
IL2RG	IL4R	Cytokine-cytokine receptor interaction	Not Directed
HRAS	ARAF	Insulin signaling pathway	Not Directed
CIITA	CREB1	Antigen processing and presentation	Not Directed
IBSP	ITGAV	ECM-receptor interaction	Not Directed
TNFRSF1A	TRADD	Apoptosis	Not Directed
HCST	GRB2	Natural killer cell mediated cytotoxicity	Not Directed
FBXW11	CTNNB1	Wnt signaling pathway	Not Directed
NFKB1	NFKBIA	Adipocytokine signaling pathway	Not Directed
PAK4	RAF1	Focal adhesion	Not Directed
ROCK1	PIP5K3	Regulation of actin cytoskeleton	Not Directed
KLRD1	PTPN11	Natural killer cell mediated cytotoxicity	Not Directed
MAP3K14	CHUK	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
GNA13	ARHGEF1	Regulation of actin cytoskeleton	Not Directed
ITGB2	PTK2B	Leukocyte transendothelial migration	Not Directed
NFKB1	CXCL10	Toll-like receptor signaling pathway	Not Directed
CDC37	HSP90	Arginine metabolism	Not Directed
INHBC	ACVR1B	Cytokine-cytokine receptor interaction	Not Directed
BUB3	BUB1B	Cell cycle	Not Directed
CASP8	CASP3	Huntington's disease	Not Directed
IL-2R alpha chain	IL-2 receptor	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
CCL7	CCR1	Cytokine-cytokine receptor interaction	Not Directed
p38alpha (MAPK14)	C/EBP zeta	Fructose metabolism	Not Directed
GRB10	IRS-1	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
NCF2	NCF4	Leukocyte transendothelial migration	Not Directed
CGA	LHCGR	Neuroactive ligand-receptor interaction	Not Directed
LEPR	CAMKK2	Adipocytokine signaling pathway	Not Directed
SEC22B	STX5	SNARE interactions in vesicular transport	Not Directed
PARVB	ITGA11	Focal adhesion	Not Directed
APS	JAK2	A2BR signaling via G-beta/gamma dimer.  Activation of PH-domain proteins. (map 2)	Not Directed
11261	CALML6	Calcium signaling pathway	Not Directed
HSD3B1	"NAD('+) + 3beta-3,21-dihydroxy-pregn-5-en-20-one = NADH + 21-Hydroxy-pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
PLAU (UPA)	CCL14	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
Protein C inhibitor	Kallikrein 1	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
SKAP55	Lck	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
Norrin	FZD4	G12a specific GPCRs (in brain)	Not Directed
KDR	SRC	VEGF signaling pathway	Not Directed
NTF2	Ran	IMP biosynthesis	Not Directed
RASA3	H-Ras	Pleckstrin homology proteins interactions. Part III	Not Directed
RGS3	GNAI1	Axon guidance	Not Directed
EPAS1	TGFB1	Renal cell carcinoma	Not Directed
FRAP1	RPS6KB1	ErbB signaling pathway	Not Directed
MYD88	TIRAP	Toll-like receptor signaling pathway	Not Directed
AKT3	NFKB1	Toll-like receptor signaling pathway	Not Directed
CCNE1	RB1	Cell cycle	Not Directed
IGF1R	SHC2	Glioma	Not Directed
CD48	CD244	Natural killer cell mediated cytotoxicity	Not Directed
IFNK	IFNAR1	Cytokine-cytokine receptor interaction	Not Directed
Telomerase RNA component	TERT	ATP metabolism	Not Directed
PPARG	RXRA	PPAR signaling pathway	Not Directed
PRKCA	MAPK7	GnRH signaling pathway	Not Directed
HRAS	ARAF	Prostate cancer	Not Directed
FASLG	FAS	Natural killer cell mediated cytotoxicity	Not Directed
JAM2	ITGA4	Leukocyte transendothelial migration	Not Directed
MICA	KLRK1	Natural killer cell mediated cytotoxicity	Not Directed
PAK4	MAP2K7	ErbB signaling pathway	Not Directed
MAP2K1	MAPK1	Insulin signaling pathway	Not Directed
Tuberin	RAP-1A	dGTP/GTP/XTP metabolism	Not Directed
C3	CR2	Complement and coagulation cascades	Not Directed
VCAM1	PIK3R5	Leukocyte transendothelial migration	Not Directed
INHBE	ACVR1	Cytokine-cytokine receptor interaction	Not Directed
Cytohesin4	ARF1	Pleckstrin homology proteins interactions. Part II	Not Directed
CAP2	Actin	Role of adenylate cyclase in cytoskeleton regulation	Not Directed
TNFRSF1A	RIPK1	Apoptosis	Not Directed
ICAM3	ITGAL	Cell adhesion molecules (CAMs)	Not Directed
MAPK7	NR4A1	MAPK signaling pathway	Not Directed
TGFBR2	ACVR1C	Colorectal cancer	Not Directed
leptomycin B	CRM1	Galactose metabolism	Not Directed
GRB2	VAV-1	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
Protein C inhibitor	Kallikrein 1	"A2BR signaling via G-protein beta/gamma dimer. Activation of PI3K, PLCB and PLA2"	Not Directed
ORC5L	MCM6	Cell cycle	Not Directed
GRB2	SOS1	T cell receptor signaling pathway	Not Directed
MAP3K6	MAP2K6	MAPK signaling pathway	Not Directed
ITGB2	CD226	Cell adhesion molecules (CAMs)	Not Directed
SLIT2	ROBO1	Axon guidance	Not Directed
p120GAP	H-Ras	Urea cycle	Not Directed
MAP2K7	MAPK8	ErbB signaling pathway	Not Directed
RXRA	ACADM	PPAR signaling pathway	Not Directed
FOS	IL12A	Toll-like receptor signaling pathway	Not Directed
NFKB1	CXCL1	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
STAM2	JAK1	Jak-STAT signaling pathway	Not Directed
WAS	ARPC5	Pathogenic Escherichia coli infection	Not Directed
Pyk2(FAK2)	ARF1	Galactose metabolism	Not Directed
OSM	OSMR	Cytokine-cytokine receptor interaction	Not Directed
CDKN1A	CDK4	Melanoma	Not Directed
PTPN6	CD22	B cell receptor signaling pathway	Not Directed
HSD17B8	"20-hydroxy-pregn-4-en-3-one + NAD(P)('+) = NAD(P)H + Pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
NK31	SRF	dCTP/dUTP metabolism	Not Directed
VWF	GP5	ECM-receptor interaction	Not Directed
PTPRM	PTPRM	Cell adhesion molecules (CAMs)	Not Directed
FN1	CD44	ECM-receptor interaction	Not Directed
Adenosine A2b receptor	G-protein alpha-q/11	A2BR signaling via G-beta/gamma dimer.  Activation of PH-domain proteins. (map 2)	Not Directed
GRB2	NTRK1	MAPK signaling pathway	Not Directed
GRP	GRP-R	Folic acid metabolism	Not Directed
SELP	SELPLG	Cell adhesion molecules (CAMs)	Not Directed
PER1	CSNK1D	Circadian rhythm	Not Directed
440915	VCL	Adherens junction	Not Directed
LIF	IL6ST	Cytokine-cytokine receptor interaction	Not Directed
PTPN11	LAT	Natural killer cell mediated cytotoxicity	Not Directed
NFKB1	BCL2	Prostate cancer	Not Directed
DOK1	p120GAP	Pleckstrin homology proteins interactions. Part III	Not Directed
PPM1B	MAP3K7	MAPK signaling pathway	Not Directed
RBPJL	HES1	Notch signaling pathway	Not Directed
TUBA1B	ARHGEF2	Pathogenic Escherichia coli infection	Not Directed
CXXC4	DVL1	Wnt signaling pathway	Not Directed
RXRA	FABP4	PPAR signaling pathway	Not Directed
CDC25A	CDK4	Tryptophan metabolism	Not Directed
SLAP-130(ADAP)	SCAP2	Leucine and lysine metabolism	Not Directed
CSF3	CSF3R	Cytokine-cytokine receptor interaction	Not Directed
MADCAM1	ITGB7	Cell adhesion molecules (CAMs)	Not Directed
PTPN6	CD72	B cell receptor signaling pathway	Not Directed
KRAS	PIK3CA	Acute myeloid leukemia	Not Directed
CSK	LYN	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
RARA	JUP	Acute myeloid leukemia	Not Directed
DCC	NCK1	Axon guidance	Not Directed
FYN	CTNND1	Adherens junction	Not Directed
BID	CYCS	Apoptosis	Not Directed
MAPK1	MKNK2	MAPK signaling pathway	Not Directed
"PtdIns(3,4,5)P3"	IRS-4	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
EPAS1	TGFA	Renal cell carcinoma	Not Directed
PORCN	WNT16	Wnt signaling pathway	Not Directed
EGFR	PTK2	Focal adhesion	Not Directed
MAPK14	RPS6KA4	MAPK signaling pathway	Not Directed
PPARA	FADS2	PPAR signaling pathway	Not Directed
LAMC3	SV2C	ECM-receptor interaction	Not Directed
VTN	ITGAV	ECM-receptor interaction	Not Directed
CXCL12	CXCR4	Leukocyte transendothelial migration	Not Directed
PAX6	PDX1	Maturity onset diabetes of the young	Not Directed
TNFSF10	TNFRSF10C	Cytokine-cytokine receptor interaction	Not Directed
PPM1A	MAP2K6	MAPK signaling pathway	Not Directed
"Casein kinase II, alpha chains"	IRS-1	GTP metabolism	Not Directed
RXRA	SLC27A4	PPAR signaling pathway	Not Directed
CNTN1	NRCAM	Cell adhesion molecules (CAMs)	Not Directed
HAP1	DCTN1	Huntington's disease	Not Directed
MAP3K7IP1	IKBKB	Toll-like receptor signaling pathway	Not Directed
ITGA11	CRK	Regulation of actin cytoskeleton	Not Directed
THBS1	ITGA2B	ECM-receptor interaction	Not Directed
ORC4L	MCM2	Cell cycle	Not Directed
TGFB1	SMAD2	Cell cycle	Not Directed
CXCL9	CXCR3	Cytokine-cytokine receptor interaction	Not Directed
CYBB	NCF4	Leukocyte transendothelial migration	Not Directed
SKP1A	SKP2	Cell cycle	Not Directed
NCSTN	APH1A	Notch signaling pathway	Not Directed
KIR3DL2	PTPN6	Natural killer cell mediated cytotoxicity	Not Directed
TLR4	TIRAP	Toll-like receptor signaling pathway	Not Directed
DDX1	mRNA	Phospholipid metabolism III	Not Directed
BCL2	TP53	Apoptosis	Not Directed
ATM	I-kB	Glycolysis and gluconeogenesis	Not Directed
CD86	CD28	Cell adhesion molecules (CAMs)	Not Directed
ACVR1C	SMAD2	Adherens junction	Not Directed
ARHGEF2	RHOA	Pathogenic Escherichia coli infection	Not Directed
WASL	440915	Adherens junction	Not Directed
HLA-B	KIR3DL1	Natural killer cell mediated cytotoxicity	Not Directed
ORC6L	MCM6	Cell cycle	Not Directed
R-Ras	RGL	NAD metabolism	Not Directed
AMH	ACVR1	Cytokine-cytokine receptor interaction	Not Directed
E2	CD81	"Alanine, serine, cysteine, threonine and glycine metabolism"	Not Directed
TNC	ITGB3	ECM-receptor interaction	Not Directed
RXRA	HMGCS2	PPAR signaling pathway	Not Directed
Trypsin	PAR2	ATP/ITP metabolism	Not Directed
CDKN1A	CCND1	Melanoma	Not Directed
PKC-zeta	MARCKS	Acetylcholine metabolism	Not Directed
ERBB3	PIK3R5	ErbB signaling pathway	Not Directed
KRAS	PIK3R5	Colorectal cancer	Not Directed
SPN	SIGLEC1	Cell adhesion molecules (CAMs)	Not Directed
RXRA	APOA5	PPAR signaling pathway	Not Directed
CDH3	CDH3	Cell adhesion molecules (CAMs)	Not Directed
TFPI	F7	Complement and coagulation cascades	Not Directed
SP1	HBB	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
CDC45L	MCM7	Cell cycle	Not Directed
NEUROD1	INS	Maturity onset diabetes of the young	Not Directed
CTNNB1	CDH1	Thyroid cancer	Not Directed
THY1	GRLF1	Leukocyte transendothelial migration	Not Directed
VCL	TLN1	Focal adhesion	Not Directed
DAPP1	PLC-gamma	Pleckstrin homology proteins interactions. Part VIII	Not Directed
PRKCA	PLD1	GnRH signaling pathway	Not Directed
EGFR	PLCG1	Non-small cell lung cancer	Not Directed
PIK3R5	RAC1	Natural killer cell mediated cytotoxicity	Not Directed
PDGF receptor	PI3K reg class IA	UMP biosynthesis	Not Directed
SMAD4	CDKN1B	Cell cycle	Not Directed
IL2RG	IL15RA	Cytokine-cytokine receptor interaction	Not Directed
TAS2R39	GNAT3	Taste transduction	Not Directed
PROC	F8	Complement and coagulation cascades	Not Directed
CTF1	LIFR	Cytokine-cytokine receptor interaction	Not Directed
CKS1B	SKP2	Small cell lung cancer	Not Directed
HSD17B1	"20-hydroxy-pregn-4-en-3-one + NAD(P)('+) = NAD(P)H + Pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
"PtdIns(3,4,5)P3"	Cytohesin3	Pleckstrin homology proteins interactions. Part II	Not Directed
NFKB1	NFKBIA	Apoptosis	Not Directed
F2	F13A1	Complement and coagulation cascades	Not Directed
FST	INHBA	TGF-beta signaling pathway	Not Directed
"PtdIns(3,4,5)P3"	VAV-3	Pleckstrin homology proteins interactions. Part I	Not Directed
CYP17	"11beta-11-hydroxy-pregn-4-en-3,20-dione + NAD(P)H + O(,2) = H(,2)O + NAD(P)('+) + 11beta,17alpha-11,17-dihydroxy-pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
RXRA	DBI	PPAR signaling pathway	Not Directed
VAV-1	CDC42	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
CYBA	NCF1	Leukocyte transendothelial migration	Not Directed
ANAPC10	CDC2	Cell cycle	Not Directed
TYROBP	KIR2DS1	Natural killer cell mediated cytotoxicity	Not Directed
TLR3	TICAM1	Toll-like receptor signaling pathway	Not Directed
PARK2	5-Sep	Parkinson's disease	Not Directed
TRAF2	CHUK	Adipocytokine signaling pathway	Not Directed
CDC42	MAP3K1	GnRH signaling pathway	Not Directed
Calmodulin	MARCKS	Acetylcholine metabolism	Not Directed
MAP3K7IP2	TRAF6	MAPK signaling pathway	Not Directed
AXIN1	CTNNB1	Wnt signaling pathway	Not Directed
MLK3(MAP3K11)	MEK3(MAP2K3)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CSNK1D	CSNK1D	Circadian rhythm	Not Directed
GJA1	TUBA1B	Gap junction	Not Directed
RXRA	APOC3	PPAR signaling pathway	Not Directed
APC2	ARHGEF4	Regulation of actin cytoskeleton	Not Directed
RFXAP	RFX5	Fatty acid oxidation II	Not Directed
PIK3R5	AKT3	Jak-STAT signaling pathway	Not Directed
NCKAP1	CYFIP1	Regulation of actin cytoskeleton	Not Directed
KRAS	ARAF	Pancreatic cancer	Not Directed
RHOD	PLXNA1	Axon guidance	Not Directed
ACP1	CTNNB1	Adherens junction	Not Directed
RALGDS	RAC1	Colorectal cancer	Not Directed
CFLAR	FADD	Apoptosis	Not Directed
SUMO-1	FasR(CD95)	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
VCAM1	alpha-L/beta-2 integrin	Phenylalanine metabolism	Not Directed
FZR1	CDC2	Cell cycle	Not Directed
CD80	CD28	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
IL1B	IL1R2	Cytokine-cytokine receptor interaction	Not Directed
RHOA	MYL6	Tight junction	Not Directed
ITGB2	ITGAM	Cell adhesion molecules (CAMs)	Not Directed
STX8	TSNARE1	SNARE interactions in vesicular transport	Not Directed
KRAS	RALGDS	Pancreatic cancer	Not Directed
PAK4	RP11-145H9.1	Regulation of actin cytoskeleton	Not Directed
MAP2K1	MAPK1	Colorectal cancer	Not Directed
IL25	IL17RB	Cytokine-cytokine receptor interaction	Not Directed
BNIP1	STX18	SNARE interactions in vesicular transport	Not Directed
ARHGEF1	RHOA	Regulation of actin cytoskeleton	Not Directed
NFKBIA	NFKB1	Small cell lung cancer	Not Directed
ALG12	ALG9	N-Glycan biosynthesis	Not Directed
BLNK	BTK	B cell receptor signaling pathway	Not Directed
LAT	GRB2	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
IRF3	IFNB1	Toll-like receptor signaling pathway	Not Directed
TGFA	EGFR	Non-small cell lung cancer	Not Directed
LFNG	NOTCH1	Notch signaling pathway	Not Directed
TAS1R3	TAS1R2	Taste transduction	Not Directed
Rac1	PAK1	Tyrosine metabolism	Not Directed
CCL1	CCR8	Cytokine-cytokine receptor interaction	Not Directed
PRICKLE1	VANGL2	Wnt signaling pathway	Not Directed
R-Ras	RGL	Tryptophan metabolism	Not Directed
E2F4	RBL1	TGF-beta signaling pathway	Not Directed
c-Src	FAK1	dGTP/GTP/XTP metabolism	Not Directed
GNAI1	ADCY1	Gap junction	Not Directed
RHOA	ROCK1	Pathogenic Escherichia coli infection	Not Directed
CASP8	CASP7	Apoptosis	Not Directed
IL7	IL7R	Cytokine-cytokine receptor interaction	Not Directed
AKR1C4	"NAD(P)H + 5beta-Pregnan-3,20-dione = 3alpha,5beta-3-hydroxy-pregnan-20-one + NAD(P)('+)"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
PRKCI	SLC2A4	Insulin signaling pathway	Not Directed
Galpha(q)-specific putative/unclassified GPCRs	G-protein alpha-q/11	Folic acid metabolism	Not Directed
